371,6,20,0
6,371,20,0
84,169,20,1
169,84,20,1
83,82,20,2
82,83,20,2
86,85,20,3
85,86,20,3
108,107,20,4
107,108,20,4
106,105,20,5
105,106,20,5
103,101,20,6
101,103,20,6
100,99,20,7
99,100,20,7
97,96,20,8
96,97,20,8
167,166,20,9
166,167,20,9
94,90,20,10
90,94,20,10
250,249,20,11
249,250,20,11
168,166,20,12
166,168,20,12
88,87,20,13
87,88,20,13
95,89,20,14
89,95,20,14
93,91,20,15
91,93,20,15
98,96,20,16
96,98,20,16
53,185,360,17
185,53,360,17
134,71,360,18
71,134,360,18
45,43,155,19
43,45,155,19
44,45,100,20
45,44,100,20
107,105,60,21
105,107,60,21
109,107,60,22
107,109,60,22
111,110,30,23
110,111,30,23
112,111,30,24
111,112,30,24
113,112,60,25
112,113,60,25
115,114,60,26
114,115,60,26
116,115,60,27
115,116,60,27
117,116,60,28
116,117,60,28
122,118,59,29
118,122,59,29
304,303,105,30
303,304,105,30
308,304,75,31
304,308,75,31
309,308,120,32
308,309,120,32
316,309,120,33
309,316,120,33
318,316,90,34
316,318,90,34
317,318,30,35
318,317,30,35
320,317,60,36
317,320,60,36
220,320,60,37
320,220,60,37
221,220,60,38
220,221,60,38
222,221,30,39
221,222,30,39
225,222,30,40
222,225,30,40
227,225,60,41
225,227,60,41
344,227,20,42
227,344,20,42
227,345,20,43
345,227,20,43
228,227,60,44
227,228,60,44
231,230,60,45
230,231,60,45
270,266,75,46
266,270,75,46
271,270,60,47
270,271,60,47
303,271,30,48
271,303,30,48
271,272,20,49
272,271,20,49
302,303,120,50
303,302,120,50
301,302,120,51
302,301,120,51
299,301,120,52
301,299,120,52
298,299,120,53
299,298,120,53
297,298,90,54
298,297,90,54
231,297,90,55
297,231,90,55
335,231,20,56
231,335,20,56
232,231,60,57
231,232,60,57
236,234,60,58
234,236,60,58
24,17,139,59
17,24,139,59
265,24,120,60
24,265,120,60
263,265,120,61
265,263,120,61
262,263,30,62
263,262,30,62
261,262,90,63
262,261,90,63
260,261,60,64
261,260,60,64
278,260,90,65
260,278,90,65
239,278,90,66
278,239,90,66
238,239,90,67
239,238,90,67
236,238,90,68
238,236,90,68
338,236,20,69
236,338,20,69
237,236,60,70
236,237,60,70
287,295,139,71
295,287,139,71
248,286,143,72
286,248,143,72
92,244,60,73
244,92,60,73
91,92,30,74
92,91,30,74
90,91,60,75
91,90,60,75
89,90,30,76
90,89,30,76
87,89,60,77
89,87,60,77
166,87,60,78
87,166,60,78
96,166,60,79
166,96,60,79
104,105,60,80
105,104,60,80
164,102,20,81
102,164,20,81
104,163,20,82
163,104,20,82
105,162,20,83
162,105,20,83
107,161,20,84
161,107,20,84
102,104,30,85
104,102,30,85
101,102,30,86
102,101,30,86
96,99,60,87
99,96,60,87
173,75,90,88
75,173,90,88
82,76,60,89
76,82,60,89
84,82,30,90
82,84,30,90
85,84,30,91
84,85,30,91
87,85,60,92
85,87,60,92
240,241,139,93
241,240,139,93
239,240,120,94
240,239,120,94
290,239,90,95
239,290,90,95
298,290,90,96
290,298,90,96
330,298,90,97
298,330,90,97
220,330,90,98
330,220,90,98
218,220,60,99
220,218,60,99
216,218,60,100
218,216,60,100
197,209,20,101
209,197,20,101
323,197,90,102
197,323,90,102
316,323,90,103
323,316,90,103
315,316,90,104
316,315,90,104
301,315,90,105
315,301,90,105
275,301,90,106
301,275,90,106
261,275,90,107
275,261,90,107
192,207,20,108
207,192,20,108
202,192,90,109
192,202,90,109
203,202,30,110
202,203,30,110
308,203,60,111
203,308,60,111
109,160,20,112
160,109,20,112
156,109,60,113
109,156,60,113
155,156,30,114
156,155,30,114
153,155,30,115
155,153,30,115
79,153,60,116
153,79,60,116
78,79,60,117
79,78,60,117
77,78,30,118
78,77,30,118
76,77,30,119
77,76,30,119
373,76,60,120
76,373,60,120
372,373,30,121
373,372,30,121
4,372,60,122
372,4,60,122
3,4,30,123
4,3,30,123
0,3,60,124
3,0,60,124
243,245,60,125
245,243,60,125
252,243,115,126
243,252,115,126
255,252,145,127
252,255,145,127
259,256,139,128
256,259,139,128
260,259,120,129
259,260,120,129
20,19,140,130
19,20,140,130
7,20,120,131
20,7,120,131
368,8,20,132
8,368,20,132
113,149,20,133
149,113,20,133
