24,15,79,0
15,24,79,0
3,4,975,1
4,3,975,1
3,2,310,2
2,3,310,2
25,4,625,3
4,25,625,3
26,25,849,4
25,26,849,4
26,5,844,5
5,26,844,5
9,27,692,6
27,9,692,6
27,10,474,7
10,27,474,7
10,11,507,8
11,10,507,8
14,13,177,9
13,14,177,9
14,22,610,10
22,14,610,10
25,17,187,11
17,25,187,11
6,7,932,12
7,6,932,12
5,6,578,13
6,5,578,13
8,7,813,14
7,8,813,14
8,9,95,15
9,8,95,15
26,18,153,16
18,26,153,16
11,12,181,17
12,11,181,17
21,27,184,18
27,21,184,18
11,13,202,19
13,11,202,19
24,16,170,20
16,24,170,20
1,2,261,21
2,1,261,21
0,1,184,22
1,0,184,22
24,0,476,23
0,24,476,23
20,27,83,24
27,20,83,24
9,19,231,25
19,9,231,25
23,22,374,26
22,23,374,26
